VALUE,Freq,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,display_name,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE,ACRES,REL_PERCENT
2140,32266359,13640,44,13640_32_44_49,Ozark-Ouachita Dry Oak Woodland,Oak Forest and Woodland Systems,Hardwood,38,89,6,5,13,5,82,I-A,97,69,0,0.380392157,0.270588235,0,7175866,16.1
2046,28026641,14210,43,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,Prairie Systems,Grassland,4,NA,NA,4,100,NA,NA,II-A,232,255,196,0.909803922,1,0.768627451,6232975,14
2144,20009621,13940,44,13940_44_49,North-Central Interior Oak Savanna,Oak Savanna,Hardwood,550,189,5,5,1,3,96,I-A,230,213,138,0.901960784,0.835294118,0.541176471,4450033,10
2041,14716518,13140,43,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Maple-Basswood Forest,Hardwood,1027,NA,857,467,46,NA,54,V-A,237,161,102,0.929411765,0.631372549,0.4,3272875,7.3
2132,14549147,13040,44,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,Oak Forest and Woodland Systems,Hardwood,188,66,15,11,6,17,77,I-B,115,115,0,0.450980392,0.450980392,0,3235652,7.3
2135,14003093,13110,44,13110_44,North-Central Interior Dry Oak Forest and Woodland,Oak Forest and Woodland Systems,Hardwood,107,99,19,14,13,14,73,I-B,179,207,143,0.701960784,0.811764706,0.560784314,3114213,7
2049,7495556,14710,43,14710_42_43,Central Interior and Appalachian Floodplain Systems,Floodplain and Swamp Systems,Riparian,NA,NA,NA,NA,NA,NA,NA,NA,0,191,176,0,0.749019608,0.690196078,1666972,3.7
2039,6888326,13100,43,13100_38_42_43,North-Central Interior Dry-Mesic Oak Forest and Woodland,Oak Forest and Woodland Systems,Hardwood,126,50,76,24,19,49,32,I-C,176,163,222,0.690196078,0.639215686,0.870588235,1531927,3.4
2047,6778884,14230,43,14230_43_44,Southeastern Great Plains Tallgrass Prairie,Prairie Systems,Grassland,2,80,503,2,97,2,1,II-A,135,75,120,0.529411765,0.294117647,0.470588235,1507588,3.4
2149,6891684,14230,44,14230_43_44,Southeastern Great Plains Tallgrass Prairie,Prairie Systems,Grassland,2,80,503,2,97,2,1,II-A,135,75,120,0.529411765,0.294117647,0.470588235,1532674,3.4
1527,6637391,14730,45,14730_45_46_47_98_99,Floodplain Systems,Floodplain and Swamp Systems,Riparian,115,NA,100,53,46,NA,54,III-A,102,119,205,0.4,0.466666667,0.803921569,1476120,3.3
2141,6006245,13670,44,13670_32_44,Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland,Shortleaf Pine-Oak Forest and Woodland,Conifer,347,92,5,5,1,5,94,I-A,196,164,100,0.768627451,0.643137255,0.392156863,1335757,3
2148,4324511,14210,44,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,Prairie Systems,Grassland,4,NA,NA,4,100,NA,NA,II-A,232,255,196,0.909803922,1,0.768627451,961748,2.2
2134,3380036,13100,44,13100_44_50,North-Central Interior Dry-Mesic Oak Forest and Woodland,Oak Forest and Woodland Systems,Hardwood,123,49,76,24,20,48,32,I-C,176,163,222,0.690196078,0.639215686,0.870588235,751702,1.7
