,TransitionGroupID,Model_Code,annual_probability,BpS_Name,...1,BLUE,ACRES,REL_PERCENT,annual_dist_acres
26,All Fire,13640_32_44_49,0.2045578,Ozark-Ouachita Dry Oak Woodland,1,0,7175866,16.1,1467879.362
99,All Transitions,13640_32_44_49,0.3011134,Ozark-Ouachita Dry Oak Woodland,1,0,7175866,16.1,2160749.409
166,Alternative Succession,13640_32_44_49,0.012433,Ozark-Ouachita Dry Oak Woodland,1,0,7175866,16.1,89217.54198
239,Mixed Fire,13640_32_44_49,0.0112588,Ozark-Ouachita Dry Oak Woodland,1,0,7175866,16.1,80791.64012
275,Native Grazing,13640_32_44_49,0.080619,Ozark-Ouachita Dry Oak Woodland,1,0,7175866,16.1,578511.1411
309,Non Fire Disturbances,13640_32_44_49,0.0841226,Ozark-Ouachita Dry Oak Woodland,1,0,7175866,16.1,603652.5052
382,Non Replacement Fire,13640_32_44_49,0.17781,Ozark-Ouachita Dry Oak Woodland,1,0,7175866,16.1,1275940.733
485,Replacement Fire,13640_32_44_49,0.0267478,Ozark-Ouachita Dry Oak Woodland,1,0,7175866,16.1,191938.6286
556,Surface Fire,13640_32_44_49,0.1665512,Ozark-Ouachita Dry Oak Woodland,1,0,7175866,16.1,1195149.093
617,Wind or Weather or Stress,13640_32_44_49,0.0035036,Ozark-Ouachita Dry Oak Woodland,1,0,7175866,16.1,25141.36412
41,All Fire,14210_31_38_42_43_44_50_51,0.2824352,Central Tallgrass Prairie,2,0.768627451,6232975,14,1760411.541
114,All Transitions,14210_31_38_42_43_44_50_51,0.3125626,Central Tallgrass Prairie,2,0.768627451,6232975,14,1948194.872
180,Alternative Succession,14210_31_38_42_43_44_50_51,0.0058724,Central Tallgrass Prairie,2,0.768627451,6232975,14,36602.52239
323,Non Fire Disturbances,14210_31_38_42_43_44_50_51,0.024255,Central Tallgrass Prairie,2,0.768627451,6232975,14,151180.8086
500,Replacement Fire,14210_31_38_42_43_44_50_51,0.2824352,Central Tallgrass Prairie,2,0.768627451,6232975,14,1760411.541
630,Wind or Weather or Stress,14210_31_38_42_43_44_50_51,0.024255,Central Tallgrass Prairie,2,0.768627451,6232975,14,151180.8086
31,All Fire,13940_44_49,0.1942196,North-Central Interior Oak Savanna,3,0.541176471,4450033,10,864283.6292
104,All Transitions,13940_44_49,0.197266,North-Central Interior Oak Savanna,3,0.541176471,4450033,10,877840.2098
171,Alternative Succession,13940_44_49,0.0010606,North-Central Interior Oak Savanna,3,0.541176471,4450033,10,4719.705
244,Mixed Fire,13940_44_49,0.0053112,North-Central Interior Oak Savanna,3,0.541176471,4450033,10,23635.01527
277,Native Grazing,13940_44_49,0.0009966,North-Central Interior Oak Savanna,3,0.541176471,4450033,10,4434.902888
314,Non Fire Disturbances,13940_44_49,0.0019858,North-Central Interior Oak Savanna,3,0.541176471,4450033,10,8836.875531
387,Non Replacement Fire,13940_44_49,0.1924298,North-Central Interior Oak Savanna,3,0.541176471,4450033,10,856318.9602
490,Replacement Fire,13940_44_49,0.0017898,North-Central Interior Oak Savanna,3,0.541176471,4450033,10,7964.669063
561,Surface Fire,13940_44_49,0.1871186,North-Central Interior Oak Savanna,3,0.541176471,4450033,10,832683.9449
622,Wind or Weather or Stress,13940_44_49,0.0009892,North-Central Interior Oak Savanna,3,0.541176471,4450033,10,4401.972644
1,All Fire,13040_32_43_44_49,0.085975,Ozark-Ouachita Dry-Mesic Oak Forest,5,0,3235652,7.3,278185.1807
15,All Fire,13140_38_39_40_41_42_43_44_50,0.0021822,North-Central Interior Maple-Basswood Forest,4,0.4,3272875,7.3,7142.067825
74,All Transitions,13040_32_43_44_49,0.1022102,Ozark-Ouachita Dry-Mesic Oak Forest,5,0,3235652,7.3,330716.6381
88,All Transitions,13140_38_39_40_41_42_43_44_50,0.142462,North-Central Interior Maple-Basswood Forest,4,0.4,3272875,7.3,466260.3183
150,Alternative Succession,13040_32_43_44_49,0.0125246,Ozark-Ouachita Dry-Mesic Oak Forest,5,0,3235652,7.3,40525.24704
217,Mixed Fire,13040_32_43_44_49,0.0148922,Ozark-Ouachita Dry-Mesic Oak Forest,5,0,3235652,7.3,48185.97671
284,Non Fire Disturbances,13040_32_43_44_49,0.0037106,Ozark-Ouachita Dry-Mesic Oak Forest,5,0,3235652,7.3,12006.21031
298,Non Fire Disturbances,13140_38_39_40_41_42_43_44_50,0.1402798,North-Central Interior Maple-Basswood Forest,4,0.4,3272875,7.3,459118.2504
357,Non Replacement Fire,13040_32_43_44_49,0.0807844,Ozark-Ouachita Dry-Mesic Oak Forest,5,0,3235652,7.3,261390.2054
371,Non Replacement Fire,13140_38_39_40_41_42_43_44_50,0.0011924,North-Central Interior Maple-Basswood Forest,4,0.4,3272875,7.3,3902.57615
460,Replacement Fire,13040_32_43_44_49,0.0051906,Ozark-Ouachita Dry-Mesic Oak Forest,5,0,3235652,7.3,16794.97527
474,Replacement Fire,13140_38_39_40_41_42_43_44_50,0.0009898,North-Central Interior Maple-Basswood Forest,4,0.4,3272875,7.3,3239.491675
531,Surface Fire,13040_32_43_44_49,0.0658922,Ozark-Ouachita Dry-Mesic Oak Forest,5,0,3235652,7.3,213204.2287
545,Surface Fire,13140_38_39_40_41_42_43_44_50,0.0011924,North-Central Interior Maple-Basswood Forest,4,0.4,3272875,7.3,3902.57615
592,Wind or Weather or Stress,13040_32_43_44_49,0.0037106,Ozark-Ouachita Dry-Mesic Oak Forest,5,0,3235652,7.3,12006.21031
606,Wind or Weather or Stress,13140_38_39_40_41_42_43_44_50,0.1402798,North-Central Interior Maple-Basswood Forest,4,0.4,3272875,7.3,459118.2504
12,All Fire,13110_44,0.071516,North-Central Interior Dry Oak Forest and Woodland,6,0.560784314,3114213,7,222716.0569
85,All Transitions,13110_44,0.0819856,North-Central Interior Dry Oak Forest and Woodland,6,0.560784314,3114213,7,255320.6213
158,Alternative Succession,13110_44,0.002585,North-Central Interior Dry Oak Forest and Woodland,6,0.560784314,3114213,7,8050.240605
228,Mixed Fire,13110_44,0.0101604,North-Central Interior Dry Oak Forest and Woodland,6,0.560784314,3114213,7,31641.64977
272,Native Grazing,13110_44,0.0065194,North-Central Interior Dry Oak Forest and Woodland,6,0.560784314,3114213,7,20302.80023
295,Non Fire Disturbances,13110_44,0.0078846,North-Central Interior Dry Oak Forest and Woodland,6,0.560784314,3114213,7,24554.32382
368,Non Replacement Fire,13110_44,0.0620066,North-Central Interior Dry Oak Forest and Woodland,6,0.560784314,3114213,7,193101.7598
471,Replacement Fire,13110_44,0.0095094,North-Central Interior Dry Oak Forest and Woodland,6,0.560784314,3114213,7,29614.2971
542,Surface Fire,13110_44,0.0518462,North-Central Interior Dry Oak Forest and Woodland,6,0.560784314,3114213,7,161460.11
603,Wind or Weather or Stress,13110_44,0.0013652,North-Central Interior Dry Oak Forest and Woodland,6,0.560784314,3114213,7,4251.523588
127,All Transitions,14710_42_43,0.0270174,Central Interior and Appalachian Floodplain Systems,7,0.690196078,1666972,3.7,45037.24931
