county_name,Floodplain and Swamp Systems,Maple-Basswood Forest,Mesic Hardwood Forest,Oak Forest and Woodland Systems,Oak Savanna,Other,Prairie Systems,Shortleaf Pine-Oak Forest and Woodland
Adair,120.22188,21.8226,,13041.16801,,769.4298,1685.941998,
Andrew,60.48168,43.3344,,4052.13429,,960.1944,3711.247996,
Atchison,40.88352,6.1938,,1972.818859,,409.7232,3757.645996,
Audrain,227.25696,116.6832,,4235.236718,,827.7936,1703.701998,
Barry,0.00444,,143.3676,23016.23692,,1554.777,1383.133999,735.0324864
Barton,116.49228,10.8558,,3557.546832,,1696.7238,1097.567999,1.89017143
Bates,322.64592,121.9224,,4381.011433,,3429.87336,1911.049998,
Benton,2.51304,108.114,2.331,23384.96941,,1803.02628,2379.839998,1344.704744
Bollinger,166.70868,,38.5836,24146.49918,,817.7706173,1757.203998,338.695886
Boone,188.89536,876.1896,,16639.2679,,1546.3188,2945.569997,
Buchanan,108.42924,86.2026,,4155.459433,,914.6178,2953.339997,
Butler,247.419,,0.1998,12831.87909,,1717.163658,2459.241998,1298.769772
Caldwell,103.88712,24.6198,,4118.100004,,874.6578,1812.703998,
Callaway,139.38048,646.9968,,24148.11344,,1825.67028,3648.495996,
Camden,0.16872,,4.995,31694.8861,,1399.78548,2671.325997,209.7931716
Cape Girardeau,82.8504,,0.9768,9328.157744,,1441.272206,1877.897998,5.305800005
Carroll,245.45652,203.8404,,4549.446005,,1619.49,2837.381997,
Carter,,,1.0212,29247.93867,,450.40248,1425.757999,3055.344774
Cass,290.81112,46.5312,,4068.974575,,2705.8914,1651.235998,
Cedar,2.93928,78.9654,0.4884,12136.64486,,1347.2958,2021.383998,259.4006574
Chariton,613.62576,290.8866,,5162.546577,,1416.9372,1778.515998,
Christian,0.03552,,69.4416,17732.41809,,896.96436,597.8459994,361.0893432
Clark,206.97948,97.3692,,9144.941152,0,935.2194,3258.589997,
Clay,83.64516,458.2746,,3236.696575,,765.7668,949.4939991,
Clinton,104.8062,4.662,,3156.396003,,775.9122,1215.597999,
Cole,1.1544,237.207,0.3552,9541.661488,,1002.07692,1346.059999,147.4238573
Cooper,26.50236,74.1924,0.222,7343.89003,,952.03368,1870.793998,26.26577145
Crawford,0.222,,220.3128,34223.08235,,1013.82072,2686.125997,1318.667315
Dade,1.09668,10.5228,9.3906,7721.251975,,616.92912,1273.835999,171.9643716
Dallas,0.03996,,1.9314,20318.40096,,695.24184,1722.941998,212.7140573
Daviess,134.02584,9.5238,,6788.284293,,1123.4754,2059.937998,
Dekalb,106.86192,5.994,,2943.244289,,637.2732,1670.771998,
Dent,0.0444,,89.5548,34640.28379,,900.20112,1975.207998,2298.013973
Douglas,0.03552,,206.1714,32980.56104,,1086.59232,2085.985998,1286.490001
Dunklin,278.68992,,,,,863.1911829,1069.891999,
Franklin,5.70984,18.1374,32.301,30114.68058,,2495.18676,5138.115995,1133.903058
Gasconade,1.25652,6.3936,26.5512,21474.80213,,1149.7824,2329.149998,366.9501432
Gentry,99.02088,2.7528,,4654.293433,,864.912,3173.933997,
Greene,0.04884,,23.0436,11308.22649,,501.19608,837.7539992,348.3497146
Grundy,151.52388,3.4188,,4324.401433,,706.5594,1316.533999,
Harrison,129.16848,2.1978,,8803.79058,,1379.1972,3236.463997,
Henry,125.208,362.082,0.0222,5977.616405,,5567.10288,2795.497997,37.70828575
Hickory,0.26196,,0.9546,14530.07444,,701.26692,1262.439999,789.1212007
Holt,66.99516,21.4896,,2851.019146,,948.9834,6026.781994,
Howard,94.54536,217.1826,,8523.287232,,864.79656,2550.557997,
Howell,0.01332,,1.554,32040.04536,,866.94996,4073.255996,1756.273716
Iron,0.00444,,257.0538,29779.48912,,1430.33712,1239.869999,1515.895287
Jackson,135.62424,512.1318,,6297.347149,,1696.191,1818.475998,
Jasper,6.87756,,0.1998,6607.80146,,665.47164,1609.055998,23.66520002
Jefferson,1.86036,,42.2688,24396.99446,,1937.96232,3409.549997,2069.832859
Johnson,288.27588,287.9562,,7722.206579,,3730.11948,2753.317997,
Knox,199.43148,43.4232,,6039.224577,,718.2144,1697.781998,
Laclede,0.03552,,2.3088,29130.31039,,1105.41348,2415.285998,888.3330008
Lafayette,125.44332,165.5454,,4262.336576,,1114.0404,2713.357997,
Lawrence,0.65268,,29.0154,7921.201032,,315.89712,1017.425999,90.18274294
Lewis,182.98572,151.848,,7348.675722,,925.629,2498.535998,
Lincoln,242.1798,493.4172,,14883.83144,,1800.087,3380.985997,
Linn,343.62492,98.4348,,5965.552292,,853.3458,1649.829998,
Livingston,327.43224,117.9042,,5140.251434,,1277.5434,1923.407998,
Macon,277.833,384.5706,,15316.44602,0,1261.1154,1879.673998,
Madison,1.11888,,82.0068,25983.5365,,879.61284,1094.607999,1118.248887
Maries,0.22644,,37.4292,18600.38735,,1044.2214,2569.353997,598.6325147
Marion,128.65788,234.4986,,7058.712007,,936.1074,1863.245998,
McDonald,0.00888,,4.6398,20822.78812,,423.66036,1061.751999,214.5249431
Mercer,98.9232,0.2442,,8018.798579,,1156.1982,1857.325998,
Miller,0.8658,,1.8648,22192.84526,,1335.34776,2329.223998,434.606229
Mississippi,328.4268,,,,,444.1439829,631.0719994,
Moniteau,3.9294,164.9682,0.333,6684.622973,,657.20436,1346.133999,16.76100002
Monroe,216.66312,178.0884,,10566.40715,,1439.0706,3178.965997,
Montgomery,103.84716,103.4964,,12295.22898,,1043.79072,2384.871998,
Morgan,2.53968,2.1534,5.6832,22096.29112,,930.7572,1541.123998,340.294286
New Madrid,487.70736,,,,,543.7966115,825.9879992,
Newton,0.1998,,1.6872,14291.94138,,413.7636,1264.511999,37.04228575
Nodaway,98.39928,16.0062,,4432.515433,,750.4932,5687.713994,
Oregon,0.01332,,3.996,35255.6329,,634.17852,2642.243997,2095.385059
Osage,3.81396,17.094,31.9014,21131.76772,,1461.39492,2930.103997,408.026486
Ozark,,,11.9658,29172.42378,,3937.0368,2275.499998,1317.091115
Pemiscot,359.78208,,,,,392.5568915,1092.313999,
Perry,5.54556,,9.7014,11452.42183,,904.10832,1529.949998,165.374143
Pettis,104.06028,228.2382,0.333,5847.746403,,1562.18736,1689.715998,139.599943
Phelps,0.03552,,69.6192,28772.55104,,1200.47388,3151.141997,1562.239373
Pike,248.2404,650.9484,,15355.20087,,1524.141,3517.737996,
Platte,125.93172,1267.6644,,3521.268861,,1208.4348,2508.451997,
Polk,0.49728,,15.6066,13933.48115,,698.32764,1802.343998,708.5003149
Pulaski,0.19092,,16.5168,24220.91992,,1063.2246,2616.121997,841.0501722
Putnam,120.9012,6.3048,,10801.47344,,972.3156,2233.689998,
Ralls,75.99504,435.3198,,8677.155437,,1010.322,2156.877998,
Randolph,132.71604,373.7814,,9432.656324,,863.0916,1659.597998,
Ray,105.2946,229.1706,,7369.860865,,1528.3812,2428.087998,
Reynolds,0.07548,,151.071,46477.38087,,1127.42256,1793.907998,2312.72623
Ripley,31.04448,,1.0656,28483.47216,,748.2725659,3324.819997,2100.180259
Saline,230.79564,148.1628,,5787.286291,,1087.30716,2859.359997,
Schuyler,50.86464,3.3744,,4983.456005,,385.8582,1139.081999,
Scotland,123.16116,8.103,,5549.904863,0,754.3338,2028.117998,
Scott,120.55932,,,1599.969857,,594.3187372,883.1159991,
Shannon,,,8.214,52746.63868,,1257.1638,1836.013998,6513.216776
Shelby,224.53968,83.5164,,5889.120863,,859.14,1355.013999,
St Charles,262.4484,82.917,,8015.941118,,2024.50236,2602.949997,
St Clair,7.58796,147.2082,0.1776,19346.03461,,2829.81624,2959.925997,506.8767434
St Francois,0.00888,,306.1824,16553.74398,,1380.64464,2325.005998,1189.460144
St Louis,8.38716,65.601,1.332,5560.557687,,860.68068,1533.945998,39.60797146
St Louis City,,,,27.05228574,,10.49616,41.95799996,
Ste Genevieve,4.29348,,358.4856,17803.88306,,1128.46152,2108.185998,2079.217116
Stoddard,373.35516,,,0.291771429,,4860.112166,1217.965999,
Stone,0.01332,,90.0432,16825.69081,,1827.9036,850.7779991,600.9825434
Sullivan,187.05276,12.876,,11572.32087,0,1085.6244,2513.039997,
Taney,0.0444,,37.3404,27672.36661,,5424.40128,1624.447998,1264.848173
Texas,0.0222,,30.7692,44808.1819,,1697.42976,4865.425995,4165.633375
Vernon,315.43536,64.1358,,6450.238549,,4420.242,2038.403998,
Warren,41.847,50.5494,,15393.50855,,1160.34072,2054.091998,
Washington,0.0444,,763.347,35660.83047,,1761.29472,2070.445998,4315.714889
Wayne,239.36928,,0.5106,40434.94047,,1355.362011,2317.457998,2579.738316
Webster,0.02664,,245.1324,18257.70181,,654.36276,1619.933998,278.7527145
Worth,42.29988,1.7094,,3083.897146,,710.5998,2347.649998,
Wright,0.03552,,84.9816,23770.09184,,849.69168,1890.107998,342.5618574
