OID_,Value,Count,Feature_MO,LC22_EVT_2,COUNTYNAME,EVT_NAME,EVT_PHYS,EVT_GP_N,mnad,min_MFRI,max_MFRI,annual_min,annual_max,max_annu_1
0,1,13198.000000000000000,2,7292,Atchison,Open Water,Open Water,Open Water, ,0,0,0.000000000000000,0.000000000000000,0.000000000000000
1,2,11749.000000000000000,2,7488,Atchison,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland,Prairie,1,3,1.000000000000000,0.333333333000000,36166.000000000000000
2,3,2613.000000000000000,2,9683,Atchison,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies,Wetland (Swaty used prairie numbers),3,5,0.333333333000000,0.200000000000000,9816.000000000000000
3,4,35236.000000000000000,2,9817,Atchison,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,Prairie,1,3,1.000000000000000,0.333333333000000,1354483.000000000000000
4,5,1218028.000000000000000,2,7974,Atchison,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop, ,0,0,0.000000000000000,0.000000000000000,0.000000000000000
5,6,8568.000000000000000,2,9179,Atchison,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests,Wetland,20,50,0.050000000000000,0.020000000000000,21667.900000000001455
6,7,3794.000000000000000,2,7421,Atchison,Central Tallgrass Prairie,Grassland,Tallgrass Prairie,Prairie,1,3,1.000000000000000,0.333333333000000,31727.000000000000000
7,8,5413.000000000000000,2,7908,Atchison,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous, ,0,0,0.000000000000000,0.000000000000000,0.000000000000000
8,9,59703.000000000000000,2,7299,Atchison,Developed-Roads,Developed-Roads,Developed-Roads, ,0,0,0.000000000000000,0.000000000000000,0.000000000000000
9,10,2680.000000000000000,2,7909,Atchison,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland, ,0,0,0.000000000000000,0.000000000000000,0.000000000000000
