OID_,Value,Count,Acres,Feature_MO,LC22_EVT_2,COUNTYNAME,EVT_NAME,EVT_PHYS,EVT_GP_N,mnad,min_MFRI,max_MFRI,min_ann_prob,max_annual_prob,max_annual_acres,min_annual_acres
0,1,13198,2929.956,2,7292,Atchison,Open Water,Open Water,Open Water, ,0,0,0,0,0,0
1,2,11749,2608.278,2,7488,Atchison,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian,Depressional Wetland,Prairie,1,3,1,0.333333333,2608.278,869.4259991
2,3,2613,580.086,2,9683,Atchison,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies,Wetland (Swaty used prairie numbers),3,5,0.333333333,0.2,193.3619998,116.0172
3,4,35236,7822.392,2,9817,Atchison,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,Prairie,1,3,1,0.333333333,7822.392,2607.463997
4,5,1218028,270402.216,2,7974,Atchison,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop, ,0,0,0,0,0,0
5,6,8568,1902.096,2,9179,Atchison,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests,Wetland,20,50,0.05,0.02,95.1048,38.04192
6,7,3794,842.268,2,7421,Atchison,Central Tallgrass Prairie,Grassland,Tallgrass Prairie,Prairie,1,3,1,0.333333333,842.268,280.7559997
7,8,5413,1201.686,2,7908,Atchison,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous, ,0,0,0,0,0,0
8,9,59703,13254.066,2,7299,Atchison,Developed-Roads,Developed-Roads,Developed-Roads, ,0,0,0,0,0,0
9,10,2680,594.96,2,7909,Atchison,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland, ,0,0,0,0,0,0
10,11,1490,330.78,2,7905,Atchison,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest, ,0,0,0,0,0,0
11,12,750,166.5,2,9180,Atchison,North-Central Interior Freshwater Marsh,Riparian,Inland Marshes and Prairies,Wetland (Swaty used prairie numbers),3,5,0.333333333,0.2,55.49999994,33.3
12,13,36711,8149.842,2,7976,Atchison,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,Agricultural-Fallow/Idle Cropland, ,0,0,0,0,0,0
13,14,1949,432.678,2,9318,Atchison,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,Introduced Herbaceous Wetland Vegetation,Wetland (Swaty used prairie numbers),3,5,0.333333333,0.2,144.2259999,86.5356
14,15,2132,473.304,2,7297,Atchison,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity, ,0,0,0,0,0,0
15,16,668,148.296,2,7978,Atchison,Eastern Cool Temperate Wheat,Agricultural,Agricultural-Wheat, ,0,0,0,0,0,0
16,17,62071,13779.762,2,7310,Atchison,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,Woodland,3,7,0.333333333,0.142857143,4593.253995,1968.537431
17,18,97368,21615.696,2,7977,Atchison,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland, ,0,0,0,0,0,0
18,19,7832,1738.704,2,9315,Atchison,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest,Forest,5,10,0.2,0.1,347.7408,173.8704
19,20,640,142.08,2,9314,Atchison,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Ruderal Forest,Wetland,20,50,0.05,0.02,7.104,2.8416
20,21,279,61.938,2,7314,Atchison,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest,Forest,5,10,0.2,0.1,12.3876,6.1938
21,22,1216,269.952,2,7929,Atchison,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous, ,0,0,0,0,0,0
22,23,5481,1216.782,2,7296,Atchison,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity, ,0,0,0,0,0,0
23,24,577,128.094,2,7298,Atchison,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity, ,0,0,0,0,0,0
24,25,765,169.83,2,7975,Atchison,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop, ,0,0,0,0,0,0
25,26,211,46.842,2,7907,Atchison,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest, ,0,0,0,0,0,0
26,27,248,55.056,2,7295,Atchison,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads, ,0,0,0,0,0,0
27,28,9,1.998,2,7973,Atchison,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Agricultural-Row Crop-Close Grown Crop, ,0,0,0,0,0,0
28,29,21,4.662,2,7906,Atchison,Eastern Cool Temperate Urban Evergreen Forest,Developed,Developed-Upland Evergreen Forest, ,0,0,0,0,0,0
29,30,722885,160480.47,5,7977,Nodaway,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland, ,0,0,0,0,0,0
30,31,1299995,288598.89,5,7974,Nodaway,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop, ,0,0,0,0,0,0
31,32,97103,21556.866,5,7299,Nodaway,Developed-Roads,Developed-Roads,Developed-Roads, ,0,0,0,0,0,0
32,33,53,11.766,2,7927,Atchison,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest, ,0,0,0,0,0,0
33,34,61465,13645.23,5,9817,Nodaway,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,Prairie,1,3,1,0.333333333,13645.23,4548.409995
34,35,9474,2103.228,5,7421,Nodaway,Central Tallgrass Prairie,Grassland,Tallgrass Prairie,Prairie,1,3,1,0.333333333,2103.228,701.0759993
35,36,61281,13604.382,5,7976,Nodaway,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,Agricultural-Fallow/Idle Cropland, ,0,0,0,0,0,0
36,37,24060,5341.32,5,9315,Nodaway,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest,Forest,5,10,0.2,0.1,1068.264,534.132
37,38,1127,250.194,5,7907,Nodaway,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest, ,0,0,0,0,0,0
38,39,6826,1515.372,5,7975,Nodaway,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop, ,0,0,0,0,0,0
39,40,20534,4558.548,5,9179,Nodaway,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests,Wetland,20,50,0.05,0.02,227.9274,91.17096
40,41,138585,30765.87,5,7310,Nodaway,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,Woodland,3,7,0.333333333,0.142857143,10255.28999,4395.12429
41,42,721,160.062,5,7314,Nodaway,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest,Forest,5,10,0.2,0.1,32.0124,16.0062
42,43,3464,769.008,5,7905,Nodaway,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest, ,0,0,0,0,0,0
43,44,2475,549.45,5,9318,Nodaway,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,Introduced Herbaceous Wetland Vegetation,Wetland (Swaty used prairie numbers),3,5,0.333333333,0.2,183.1499998,109.89
44,45,1179,261.738,5,7311,Nodaway,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna,Woodland,3,7,0.333333333,0.142857143,87.24599991,37.39114289
45,46,10648,2363.856,5,7296,Nodaway,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity, ,0,0,0,0,0,0
46,47,1477,327.894,5,7929,Nodaway,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous, ,0,0,0,0,0,0
47,48,10198,2263.956,5,7908,Nodaway,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous, ,0,0,0,0,0,0
48,49,4409,978.798,5,7297,Nodaway,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity, ,0,0,0,0,0,0
49,50,1695,376.29,5,7298,Nodaway,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity, ,0,0,0,0,0,0
50,51,20004,4440.888,5,7292,Nodaway,Open Water,Open Water,Open Water, ,0,0,0,0,0,0
51,52,7715,1712.73,5,7909,Nodaway,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland, ,0,0,0,0,0,0
52,53,426,94.572,5,9317,Nodaway,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub,Prairie? (Swaty used prairie numbers),1,3,1,0.333333333,94.572,31.52399997
