COUNTYNAME,mnad2,min_annual_acres,max_annual_acres
Adair,Forest,690.864,1381.728
Adair,Prairie,1701.851998,5105.556
Adair,Wetland,220.61028,467.8686998
Adair,Woodland,13041.16801,30429.39197
Andrew,Forest,867.8424,1735.6848
Andrew,Prairie,3749.801996,11249.406
Andrew,Wetland,196.16808,377.3481998
Andrew,Woodland,4052.13429,9454.979991
Atchison,Forest,180.0642,360.1284
Atchison,Prairie,3765.637996,11296.914
Atchison,Wetland,276.73632,495.2967996
Atchison,Woodland,1972.818859,4603.243995
Audrain,Forest,887.4894,1774.9788
Audrain,Glade,0.0888,0.222
Audrain,Prairie,1763.641998,5290.926
Audrain,Wetland,322.67256,727.1683998
Audrain,Woodland,4196.719718,9792.34599
Barry,Forest,17139.843,34279.686
Barry,Glade,234.3876,585.969
Barry,Prairie,1434.933999,4304.802
Barry,Wetland,139.79784,257.1795998
Barry,Woodland,7935.390008,18515.90998
Barton,Forest,1616.0712,3232.1424
Barton,Prairie,1113.921999,3341.766
Barton,Wetland,463.18968,979.3011996
Barton,Woodland,3304.248003,7709.911992
Bates,Forest,2839.7796,5679.5592
Bates,Prairie,1930.141998,5790.426
Bates,Wetland,1034.66208,2125.598199
Bates,Woodland,4381.011433,10222.35999
Benton,Forest,15641.9202,31283.8404
Benton,Glade,285.5364,713.841
Benton,Prairie,2442.739998,7328.22
Benton,Wetland,529.86072,965.1597993
Benton,Woodland,10188.34115,23772.79598
Bollinger,Forest,14482.9914,28965.9828
Bollinger,Glade,18.204,45.51
Bollinger,Prairie,1780.217998,5340.654
Bollinger,Wetland,412.74684,825.4810996
Bollinger,Woodland,10594.31572,24720.06998
Boone,Forest,6233.76,12467.52
Boone,Glade,19.6248,49.062
Boone,Prairie,3033.481997,9100.446
Boone,Wetland,527.57856,1062.795399
Boone,Woodland,12469.7083,29095.98597
Buchanan,Forest,840.8916,1681.7832
Buchanan,Prairie,2981.533997,8944.602
Buchanan,Wetland,268.35804,537.6210997
Buchanan,Woodland,4155.459433,9696.07199
Butler,Forest,7425.1008,14850.2016
Butler,Glade,1.332,3.33
Butler,Prairie,2469.009998,7407.03
Butler,Wetland,720.7008,1597.475
Butler,Woodland,7948.297722,18546.02798
Caldwell,Forest,735.264,1470.528
Caldwell,Prairie,1826.171998,5478.516
Caldwell,Wetland,267.90072,533.0737997
Caldwell,Woodland,4118.100004,9608.89999
Callaway,Forest,13071.3378,26142.6756
Callaway,Glade,99.234,248.085
Callaway,Prairie,3746.471996,11239.416
Callaway,Wetland,451.34376,897.7383995
Callaway,Woodland,13138.24544,30655.90597
Camden,Forest,16705.944,33411.888
Camden,Glade,238.5612,596.403
Camden,Prairie,2803.785997,8411.358
Camden,Wetland,371.2284,664.5939995
Camden,Woodland,15993.89487,37319.08796
Cape Girardeau,Forest,8875.0716,17750.1432
Cape Girardeau,Glade,0.3996,0.999
Cape Girardeau,Prairie,1889.959998,5669.88
Cape Girardeau,Wetland,309.81432,603.6697997
Cape Girardeau,Woodland,1673.27743,3904.313996
Carroll,Forest,1295.0148,2590.0296
Carroll,Prairie,2856.695997,8570.088
Carroll,Wetland,773.77212,1494.167299
Carroll,Woodland,4549.446005,10615.37399
Carter,Forest,15417.8334,30835.6668
Carter,Glade,46.62,116.55
Carter,Prairie,1441.149999,4323.45
Carter,Wetland,191.30628,400.4916998
Carter,Woodland,17098.94745,39897.54396
Cass,Forest,2535.9282,5071.8564
Cass,Prairie,1677.727998,5033.184
Cass,Wetland,507.30552,1087.8518
Cass,Woodland,4068.974575,9494.273991
Cedar,Forest,7595.3082,15190.6164
Cedar,Glade,21.3564,53.391
Cedar,Prairie,2047.357998,6142.074
Cedar,Wetland,286.30008,587.2491997
Cedar,Woodland,5922.76972,13819.79599
Chariton,Forest,850.5042,1701.0084
Chariton,Prairie,1805.229998,5415.69
Chariton,Wetland,1470.94536,2962.930399
Chariton,Woodland,5162.546577,12045.94199
Christian,Forest,12405.8928,24811.7856
Christian,Glade,76.3236,190.809
Christian,Prairie,635.4379994,1906.314
Christian,Wetland,79.28508,158.4746999
Christian,Woodland,6498.447435,15163.04398
Clark,Forest,865.3338,1730.6676
Clark,Prairie,3287.967997,9863.904
Clark,Wetland,374.23428,796.2066997
Clark,Woodland,9144.941152,21338.19598
Clay,Forest,1122.6318,2245.2636
Clay,Prairie,968.659999,2905.98
Clay,Wetland,185.05476,378.1288998
Clay,Woodland,3236.696575,7552.291992
Clinton,Forest,660.0282,1320.0564
Clinton,Prairie,1230.841999,3692.526
Clinton,Wetland,225.3522,462.9254998
Clinton,Woodland,3156.396003,7364.923993
Cole,Forest,7729.6404,15459.2808
Cole,Glade,54.168,135.42
Cole,Prairie,1395.491999,4186.476
Cole,Wetland,321.02532,624.2972996
Cole,Woodland,2825.045146,6591.771993
Cooper,Forest,6795.0204,13590.0408
Cooper,Glade,22.6884,56.721
Cooper,Prairie,1906.461998,5719.386
Cooper,Wetland,417.69744,814.1405995
Cooper,Woodland,1187.700001,2771.299997
Crawford,Forest,23349.7824,46699.5648
Crawford,Glade,26.9508,67.377
Crawford,Prairie,2725.419997,8176.26
Crawford,Wetland,303.24312,606.5557997
Crawford,Woodland,13096.12887,30557.63397
Dade,Forest,4864.8636,9729.7272
Dade,Glade,36.186,90.465
Dade,Prairie,1294.259999,3882.78
Dade,Wetland,215.8728,419.2099998
Dade,Woodland,3414.233146,7966.543992
Dallas,Forest,5802.192,11604.384
Dallas,Glade,47.4636,118.659
Dallas,Prairie,1791.243998,5373.732
Dallas,Wetland,113.9526,239.7784999
Dallas,Woodland,15264.72002,35617.67996
Daviess,Forest,952.4688,1904.9376
Daviess,Prairie,2077.105998,6231.318
Daviess,Wetland,314.55624,635.9485997
Daviess,Woodland,6788.284293,15839.32998
Dekalb,Forest,535.7748,1071.5496
Dekalb,Prairie,1681.205998,5043.618
Dekalb,Wetland,214.35432,446.3087998
Dekalb,Woodland,2943.244289,6867.569993
Dent,Forest,19571.0538,39142.1076
Dent,Glade,32.7228,81.807
Dent,Prairie,1998.813998,5996.442
Dent,Wetland,100.69032,212.5427999
Dent,Woodland,18223.63116,42521.80596
