evts,display_name,acres,mnad,min MFRI,max MFRI,annual min prob,annual max prob,min annual acres,max annual acres
Crowley's Ridge Mesic Loess Slope Forest,Other,41438,Forest,5,10,0.2,0.1,4143.8,8287.6
Crowley's Ridge Sand Forest,Other,12545,Forest,5,10,0.2,0.1,1254.5,2509
Eastern Cool Temperate Developed Ruderal Deciduous Forest,Other,233295,Forest,5,10,0.2,0.1,23329.5,46659
Eastern Cool Temperate Developed Ruderal Mixed Forest,Other,327061,Forest,5,10,0.2,0.1,32706.1,65412.2
Eastern Warm Temperate Developed Ruderal Deciduous Forest,Other,1404,Forest,5,10,0.2,0.1,140.4,280.8
Eastern Warm Temperate Developed Ruderal Mixed Forest,Other,3048,Forest,5,10,0.2,0.1,304.8,609.6
Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest,Other,4270,Forest,5,10,0.2,0.1,427,854
North-Central Interior Maple-Basswood Forest,Maple-Basswood Forest,109263,Forest,5,10,0.2,0.1,10926.3,21852.6
Northern & Central Native Ruderal Forest,Other,1259232,Forest,5,10,0.2,0.1,125923.2,251846.4
Ozark-Ouachita Dry-Mesic Oak Forest,Oak Forest and Woodland Systems,7515361,Forest,5,10,0.2,0.1,751536.1,1503072.2
Ozark-Ouachita Mesic Hardwood Forest,Mesic Hardwood Forest,36086,Forest,5,10,0.2,0.1,3608.6,7217.2
Ozark-Ouachita Oak Forest and Woodland,Oak Forest and Woodland Systems,411727,Forest,5,10,0.2,0.1,41172.7,82345.4
Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland,Shortleaf Pine-Oak Forest and Woodland,118316,Forest,5,10,0.2,0.1,11831.6,23663.2
Southeastern Native Ruderal Forest,Other,17410,Forest,5,10,0.2,0.1,1741,3482
Central Interior Highlands Calcareous Glade and Barrens Herbaceous,Other,5138,Glade,2,5,0.5,0.2,1027.6,2569
Central Interior Highlands Calcareous Glade and Barrens Woodland,Other,43005,Glade,2,5,0.5,0.2,8601,21502.5
Central Interior Highlands Dry Acidic Glade and Barrens,Other,12810,Glade,2,5,0.5,0.2,2562,6405
Central Tallgrass Prairie,Prairie Systems,31727,Prairie,1,3,1,0.333333333,10575.66667,31727
Eastern Cool Temperate Developed Ruderal Grassland,Prairie Systems,285477,Prairie,1,3,1,0.333333333,95159,285477
Eastern Cool Temperate Developed Ruderal Shrubland,Prairie Systems,5610,Prairie,1,3,1,0.333333333,1870,5610
Eastern Great Plains Wet Meadow-Prairie-Marsh,Prairie Systems,36166,Prairie,1,3,1,0.333333333,12055.33333,36166
